year,month,date,mean_temp,max_temp
1994,03,1994-03-01,-1.5,2.1
1994,03,1994-03-02,0.3,2.5
1994,03,1994-03-03,-1.8,1.3
1994,03,1994-03-04,-4,0.9
1994,03,1994-03-05,-11.9,-5.9
1994,03,1994-03-06,-16.8,-6.7
1994,03,1994-03-07,-2.2,4.5
1994,03,1994-03-08,-0.6,1.4
1994,03,1994-03-09,1.3,4.5
1994,03,1994-03-10,-0.9,3
1994,03,1994-03-11,-3.5,-1.1
1994,03,1994-03-12,0.9,4.1
1994,03,1994-03-13,3,7.1
1994,03,1994-03-14,0.8,3.6
1994,03,1994-03-15,0.4,3.2
1994,03,1994-03-16,-0.7,2.6
1994,03,1994-03-17,-6.8,-1.8
1994,03,1994-03-18,-13.5,-11.2
1994,03,1994-03-19,-14.3,-4.5
1994,03,1994-03-20,-9.9,-6.1
1994,03,1994-03-21,-15.8,-13.6
1994,03,1994-03-22,-14.4,-7
1994,03,1994-03-23,-5.7,2.7
1994,03,1994-03-24,1,5.8
1994,03,1994-03-25,2.3,7.3
1994,03,1994-03-26,4.3,8.5
1994,03,1994-03-27,-1.6,5.2
1994,03,1994-03-28,1.3,6.6
1994,03,1994-03-29,6,10.5
1994,03,1994-03-30,4.6,9.4
1994,03,1994-03-31,3.8,8.1
1994,04,1994-04-01,3.6,7.5
1994,04,1994-04-02,5.4,9.8
1994,04,1994-04-03,4.9,9.6
1994,04,1994-04-04,4.3,9.3
1994,04,1994-04-05,2,9.3
1994,04,1994-04-06,-3,6
1994,04,1994-04-07,1.9,8.7
1994,04,1994-04-08,1.8,8.6
1994,04,1994-04-09,2,9.3
1994,04,1994-04-10,3.9,8
1994,04,1994-04-11,4.5,8.4
1994,04,1994-04-12,1.6,5.5
1994,04,1994-04-13,1.1,4.5
1994,04,1994-04-14,-1.8,1
1994,04,1994-04-15,0.5,4.1
1994,04,1994-04-16,-0.4,3.3
1994,04,1994-04-17,-2.3,4.9
1994,04,1994-04-18,2.8,9.6
1994,04,1994-04-19,4.8,14.4
1994,04,1994-04-20,8.5,13.6
1994,04,1994-04-21,5.6,13.6
1994,04,1994-04-22,8.3,13.5
1994,04,1994-04-23,5.6,14.3
1994,04,1994-04-24,6.1,13.5
1994,04,1994-04-25,4.5,13.5
1994,04,1994-04-26,5.1,13.9
1994,04,1994-04-27,7.3,11.9
1994,04,1994-04-28,5.9,12.9
1994,04,1994-04-29,8,12.7
1994,04,1994-04-30,6.7,10.6
1994,05,1994-05-01,5.7,12.4
1994,05,1994-05-02,4.5,12.6
1994,05,1994-05-03,4.8,10.5
1994,05,1994-05-04,4.7,10.7
1994,05,1994-05-05,5.5,9.4
1994,05,1994-05-06,6.1,10.9
1994,05,1994-05-07,4.3,11
1994,05,1994-05-08,2.4,6
1994,05,1994-05-09,6.4,9.8
